Tiempo (s),Aceleracion (g)
0.0,-0.04407582868860488
0.001,0.11574537261653026
0.002,0.11247012383364483
0.003,0.003921952540969498
0.004,0.050279709911334236
0.005,0.03506519478998439
0.006,-0.14460848464584264
0.007,-0.13617883314997153
0.008,-0.050810027500383825
0.009000000000000001,0.06649464577602224
0.01,0.17624663814053135
0.011,-0.006126391490900961
0.012,-0.056907078787161725
0.013000000000000001,-0.0014967012247232465
0.014,-0.00957362653901549
0.015,-0.1640664442578287
0.016,-0.09491794768498237
0.017,0.016793791441908443
0.018000000000000002,0.1657723327381983
0.019,0.10870347546232684
0.02,-0.012182928379059483
0.021,-0.03267646239390226
0.022,0.1282256795503464
0.023,-0.15150978366270398
0.024,-0.1824497148418869
0.025,0.05066115238259245
0.026000000000000002,0.12993527329436474
0.027,0.13024880655266124
0.028,0.030928710093749645
0.029,-0.07258217068309801
0.03,0.0033233953265769216
0.031,-0.07026483197673371
0.032,-0.12388278897225732
0.033,-0.10410664567300625
0.034,0.18281679192021225
0.035,0.1348229598215684
0.036000000000000004,-0.05690478954676005
0.037,0.05325729571317803
0.038,0.12317397841799876
0.039,0.005664799941106365
0.04,0.0018956912396544678
0.041,-0.05109250792371872
0.042,0.00281417835175464
0.043000000000000003,0.1301447844472962
0.044,0.07665333648556871
0.045,-0.048833262031851996
0.046,0.051749266428876915
0.047,-0.025081453106129758
0.048,-0.12464616841236224
0.049,-0.16951700540224535
0.05,0.08276123432219462
0.051000000000000004,0.050782642144866164
0.052000000000000005,0.11527577215179755
0.053,-0.022120184273904595
0.054,-0.01951448807886962
0.055,0.03047089179984685
0.056,-0.1035094574943311
0.057,-0.14120441460657504
0.058,-0.08026058926959985
0.059000000000000004,0.14626564807090076
0.06,0.11682736597240154
0.061,0.04391054178210792
0.062,-3.8375428347319634e-05
0.063,-0.025080641100154247
0.064,-0.08724974846468435
0.065,-0.1891482122015104
0.066,-0.19690092243561985
0.067,0.1365457034892545
0.068,0.24526822336038834
0.069,0.08020407407364984
0.07,-0.07390399998709901
0.07100000000000001,0.007816434463405488
0.07200000000000001,0.047751032093086086
0.073,-0.09109048519147342
0.074,-0.11939356289629777
0.075,-0.10173353285390081
0.076,0.15339574341750212
0.077,0.14176730305238475
0.078,0.06380944893571798
0.079,-0.10770297214257096
0.08,0.10818904000322821
0.081,-0.018873776821884472
0.082,-0.13185448294361143
0.083,-0.020429361307556182
0.084,0.15051988843173167
0.085,0.11768262383519218
0.08600000000000001,-0.006758608870835514
0.08700000000000001,0.07354677334287829
0.088,0.019663948677151377
0.089,-0.057582988489495446
0.09,-0.15867524060637508
0.091,-0.1571707900585081
0.092,0.06194082118572612
0.093,0.17420875520457346
0.094,0.13076754608292065
0.095,0.03891930052037185
0.096,0.014579377682683949
0.097,0.04554599846116542
0.098,-0.10242762847639092
0.099,-0.23664422049286035
0.1,0.08233224813978286
0.101,0.16714656098748212
0.10200000000000001,0.12114301113181446
0.10300000000000001,0.07405639178685708
0.10400000000000001,-0.137572885654887
0.105,-0.0437116782588724
0.106,-0.04636894378395509
0.107,-0.16994281364389488
0.108,0.07343256508627503
0.109,0.10658741589175327
0.11,0.09370676082888951
0.111,0.0019531244995528371
0.112,0.00925246095366319
0.113,0.004690135904371824
0.114,0.010213528764300324
0.115,-0.22037848763146345
0.116,-0.19999010676266482
0.117,0.021959786104452886
0.11800000000000001,0.1405056168865256
0.11900000000000001,0.05300874790741167
0.12,-0.03442580029418797
0.121,0.027073894430715697
0.122,0.04782968145191529
0.123,-0.09652618663910095
0.124,-0.09314049216955042
0.125,0.05060775490802855
0.126,0.07819682421813957
0.127,0.05472951675060784
0.128,0.041399894334047505
0.129,-0.1081593551449238
0.13,-0.007687572963870685
0.131,0.0015545518080618825
0.132,-0.096813712518609
0.133,-0.13774012884619605
0.134,0.162075576240356
0.135,0.16997202752787013
0.136,0.020117542013512367
0.137,0.015618079257620592
0.138,-0.004302893267464684
0.139,-0.036778811309508934
0.14,-0.11786408059373527
0.14100000000000001,-0.07711820798440625
0.14200000000000002,0.06691585964027806
0.14300000000000002,0.08958936105475195
0.14400000000000002,0.049436854072291606
0.145,-0.03231735695655185
0.146,-0.13411225738604823
0.147,0.020136171030963095
0.148,-0.11568994765762584
0.149,-0.1385692873656204
0.15,-0.02485442789811548
0.151,0.13433911468547322
0.152,0.21339758553051477
0.153,-0.0001015674948458274
0.154,-0.06777806117349679
0.155,0.04822576314611508
0.156,-0.08065144873563071
0.157,-0.1472110816829572
0.158,-0.05902365270106026
0.159,0.06698360642029953
0.16,0.12191176164881828
0.161,0.024052815784689142
0.162,-0.08321127951002974
0.163,0.004680140226877735
0.164,-0.029134906543395865
0.165,-0.08545222163766705
0.166,-0.06462953541232229
0.167,0.09913364099293767
0.168,0.14040879901860695
0.169,0.033879330030200265
0.17,0.018914629233667483
0.171,0.01960041277458588
0.17200000000000001,0.019052812738480505
0.17300000000000001,-0.046538445599700606
0.17400000000000002,-0.07156827514115421
0.17500000000000002,-0.024265880686858757
0.176,0.21890897808690607
0.177,0.06931003815486961
0.178,0.007645411973821861
0.179,0.01233584018907013
0.18,0.03958619146925175
0.181,-0.03253872202059569
0.182,-0.1884493775008708
0.183,-0.07091178100698585
0.184,0.1810231967984002
0.185,0.09998375511148662
0.186,-0.03228501642083903
0.187,-0.0035236035203826815
0.188,-0.043192671278748054
0.189,-0.05208277623200791
0.19,-0.1299453453758607
0.191,-0.05352978807212015
0.192,0.08932017959397298
0.193,0.11321077762242265
0.194,0.0835912335494812
0.195,-0.10044979630086881
0.196,0.018552769971271796
0.197,0.0038735992412907675
0.198,-0.11925061218955292
0.199,-0.146592340966136
0.2,0.023718799181727646
0.201,0.13697232520705094
0.202,0.09353334278940983
0.203,-0.08190519779789314
0.20400000000000001,0.025057944854888256
0.20500000000000002,0.1036106745976128
0.20600000000000002,0.0008488014783002706
0.20700000000000002,-0.09170026103976456
0.20800000000000002,-0.027932775602244893
0.209,0.13633099170504226
0.21,0.21222470891510167
0.211,-0.04859426146407896
0.212,-0.014645433398140499
0.213,0.023000287910725885
0.214,-0.026067058880188825
0.215,-0.15788406983827294
0.216,-0.10399308155804217
0.217,0.233837532403887
0.218,0.14877767563776012
0.219,0.11740468258796789
0.22,0.03466465453530274
0.221,0.07780511077879938
0.222,-0.0037081352376841185
0.223,-0.19912715723182134
0.224,-0.1697459321378888
0.225,-0.03777460661688115
0.226,0.1654700287946395
0.227,0.013313565537489566
0.228,-0.07375012858638426
0.229,-0.044457068560169274
0.23,0.032158133466593915
0.231,-0.1362030466913305
0.232,-0.22330986566357286
0.233,-0.07890010890327726
0.234,0.1454650696689984
0.23500000000000001,0.14393551955185996
0.23600000000000002,0.11155173606088223
0.23700000000000002,0.014849396321009081
